Date (DD/MM/YYYY),Time (24 hrs XX:XX),Sampling point,Ambient temperature (°C),Ambient humidity,Sample temperature (°C),pH,"EC
(µS/cm)","TDS
(mg/L)","TSS
(mL sed/L)","DO
(mg/L)",Level (cm),Turbidity (NTU),"Hardness
(mg CaCO3/L)",Hardness classification,"Total Cl-
(mg Cl-/L)"
03/10/2023,15:35,Arroyo Salguero,20.2,0.54,22.9,7.9,1130,560,56.0,1.02,20.0,1.3,298.0,SEMIDURA,58.0
03/10/2023,15:35,Arroyo Salguero,20.2,0.54,22.9,7.9,1140,560,56.0,0.65,20.0,2.51,298.0,SEMIDURA,58.0
03/10/2023,15:45,Puente Falbo,20.2,0.54,22.8,7.9,1640,810,86.0,0.7,55.0,124.0,211.0,SEMIDURA,127.0
03/10/2023,15:45,Puente Falbo,20.2,0.54,22.9,7.9,1680,830,86.0,0.65,55.0,30.4,211.0,SEMIDURA,127.0
10/10/2023,15:20,Arroyo_Las Torres,27.6,0.38,21.9,8.2,1390,690,80.0,1.88,25.0,79.0,246.0,SEMIDURA,99.0
10/10/2023,15:20,Arroyo_Las Torres,27.6,0.38,22.3,8.2,1420,700,80.0,1.42,25.0,48.5,246.0,SEMIDURA,99.0
10/10/2023,15:25,Puente Irigoyen,27.6,0.38,22.3,8.1,1570,780,40.0,2.16,35.0,41.0,228.0,SEMIDURA,112.0
10/10/2023,15:25,Puente Irigoyen,27.6,0.38,22.3,8.0,1560,770,40.0,1.96,35.0,40.9,228.0,SEMIDURA,112.0
10/10/2023,15:35,Arroyo Salguero,27.6,0.38,22.2,7.9,1080,530,24.0,2.66,25.0,3.0,298.0,SEMIDURA,56.0
10/10/2023,15:35,Arroyo Salguero,27.6,0.38,22.2,7.8,1050,520,24.0,1.94,25.0,2.93,298.0,SEMIDURA,56.0
10/10/2023,15:40,Puente Falbo,27.6,0.38,22.3,7.9,1640,810,50.0,1.54,55.0,42.8,252.0,SEMIDURA,118.0
10/10/2023,15:40,Puente Falbo,27.6,0.38,22.3,7.9,1640,810,50.0,1.61,55.0,45.4,252.0,SEMIDURA,118.0
24/10/2023,15:15,Puente Bilbao,17.0,0.72,19.7,7.6,1570,780,60.0,2.27,30.0,33.4,193.0,SEMIDURA,142.0
24/10/2023,15:15,Puente Bilbao,17.0,0.72,19.5,7.7,1500,740,60.0,2.24,30.0,30.4,193.0,SEMIDURA,142.0
24/10/2023,15:35,Arroyo_Las Torres,17.0,0.72,19.5,7.8,1180,580,40.0,1.18,25.0,35.5,211.0,SEMIDURA,107.0
24/10/2023,15:35,Arroyo_Las Torres,17.0,0.72,19.6,7.8,1180,580,40.0,1.35,25.0,36.8,211.0,SEMIDURA,107.0
24/10/2023,15:40,Puente Irigoyen,17.0,0.72,19.8,7.9,1450,720,24.0,1.25,35.0,36.9,222.0,SEMIDURA,150.0
24/10/2023,15:40,Puente Irigoyen,17.0,0.72,19.8,7.8,1460,720,24.0,0.96,35.0,44.2,222.0,SEMIDURA,150.0
24/10/2023,15:50,Arroyo Salguero,17.0,0.72,19.9,7.6,830,410,44.0,1.98,20.0,4.68,252.0,SEMIDURA,47.0
24/10/2023,15:50,Arroyo Salguero,17.0,0.72,19.9,7.6,830,410,44.0,1.7,20.0,3.5,252.0,SEMIDURA,47.0
24/10/2023,15:55,Puente Falbo,17.0,0.72,20.1,7.8,1520,750,54.0,1.41,45.0,39.9,211.0,SEMIDURA,142.0
24/10/2023,15:55,Puente Falbo,17.0,0.72,20.1,7.8,1530,750,54.0,1.64,45.0,47.4,211.0,SEMIDURA,142.0
31/10/2023,15:00,Puente Bilbao,13.8,0.69,19.2,7.8,1610,790,52.0,1.11,25.0,81.0,165.0,SEMIDURA,122.0
31/10/2023,15:00,Puente Bilbao,13.8,0.69,19.3,7.8,1610,790,52.0,1.17,25.0,62.5,165.0,SEMIDURA,122.0
31/10/2023,15:15,Arroyo_Las Torres,13.8,0.69,19.0,8.0,1280,640,44.0,1.32,30.0,31.7,205.0,SEMIDURA,130.0
31/10/2023,15:15,Arroyo_Las Torres,13.8,0.69,18.8,8.0,1320,650,44.0,1.44,30.0,25.3,205.0,SEMIDURA,130.0
31/10/2023,15:25,Arroyo Salguero,13.8,0.69,19.1,7.9,880,430,30.0,3.46,30.0,10.1,217.0,SEMIDURA,55.0
31/10/2023,15:25,Arroyo Salguero,13.8,0.69,19.1,8.0,890,440,30.0,3.41,30.0,9.31,217.0,SEMIDURA,55.0
31/10/2023,15:35,Puente Falbo,13.8,0.69,19.4,7.9,1430,710,20.0,1.68,60.0,43.4,188.0,SEMIDURA,134.0
31/10/2023,15:35,Puente Falbo,13.8,0.69,19.3,7.9,1470,720,20.0,1.45,60.0,39.1,188.0,SEMIDURA,134.0
03/11/2023,15:25,Puente Bilbao,13.0,0.78,24.4,7.5,800,390,50.0,1.89,30.0,150.0,114.0,BLANDA,59.0
03/11/2023,15:25,Puente Bilbao,13.0,0.78,24.4,7.5,810,400,50.0,0.54,30.0,219.0,114.0,BLANDA,59.0
03/11/2023,15:35,Arroyo_Las Torres,13.0,0.78,24.4,7.6,700,340,14.0,0.61,30.0,87.1,131.0,BLANDA,63.0
03/11/2023,15:35,Arroyo_Las Torres,13.0,0.78,24.2,7.6,730,360,14.0,0.9,30.0,172.0,131.0,BLANDA,63.0
03/11/2023,15:40,Puente Irigoyen,13.0,0.78,24.3,7.6,820,400,40.0,0.92,50.0,69.2,137.0,BLANDA,71.0
03/11/2023,15:40,Puente Irigoyen,13.0,0.78,24.3,7.7,860,420,40.0,0.73,50.0,137.0,137.0,BLANDA,71.0
03/11/2023,15:50,Arroyo Salguero,13.0,0.78,24.6,7.6,580,280,10.0,1.99,30.0,13.0,154.0,SEMIDURA,32.0
03/11/2023,15:55,Puente Falbo,13.0,0.78,24.6,7.6,1110,550,40.0,0.49,55.0,104.0,314.0,SEMIDURA,138.0
03/11/2023,15:55,Puente Falbo,13.0,0.78,24.7,7.6,1160,570,40.0,0.52,55.0,181.0,314.0,SEMIDURA,138.0
21/11/2023,15:25,Puente Bilbao,20.0,0.52,26.3,7.8,1050,520,50.0,1.17,35.0,118.0,108.0,BLANDA,79.0
21/11/2023,15:25,Puente Bilbao,20.0,0.52,26.1,7.8,970,480,50.0,0.91,35.0,92.1,108.0,BLANDA,79.0
21/11/2023,15:40,Arroyo_Las Torres,20.0,0.52,26.2,7.9,1530,760,18.0,1.33,35.0,19.4,234.0,SEMIDURA,150.0
21/11/2023,15:40,Arroyo_Las Torres,20.0,0.52,26.1,8.0,1550,770,18.0,0.55,35.0,24.5,234.0,SEMIDURA,150.0
21/11/2023,15:45,Puente Irigoyen,20.0,0.52,26.2,7.8,1240,610,60.0,1.04,45.0,60.0,177.0,SEMIDURA,115.0
21/11/2023,15:45,Puente Irigoyen,20.0,0.52,26.2,7.8,1260,620,60.0,0.63,45.0,66.1,177.0,SEMIDURA,115.0
21/11/2023,15:50,Arroyo Salguero,20.0,0.52,26.4,7.6,1070,530,10.0,1.85,40.0,2.3,268.0,SEMIDURA,71.0
21/11/2023,15:50,Arroyo Salguero,20.0,0.52,26.3,7.7,1010,490,10.0,1.15,40.0,2.9,268.0,SEMIDURA,71.0
